name;isin;quantity;buyingPrice;lastPrice;intradayVariation;amount;amountVariation;variation;lastMovementDate;compensation
"CAP IMMO 514 BAUER";QS0003999685;5,00;"1 000,00";"1 000,00";0,00;"5 000,00";0,00;0,00;2023-08-03;
NANOBIOTIX;FR0011341205;114,00;3,54;28,70;3,02;"3 271,80";"2 868,05";710,35;2025-11-24;
"FIGEAC AERO";FR0011665280;179,00;8,45;10,46;5,13;"1 872,34";360,07;23,81;2025-11-25;
"WAGA ENERGY";FR0012532810;66,00;17,40;23,25;1,53;"1 534,50";385,81;33,59;2025-11-25;
GENFIT;FR0004163111;150,00;3,84;9,18;1,10;"1 377,00";800,41;138,82;2025-02-06;
"ID LOGISTICS";FR0010929125;2,00;348,61;348,00;2,96;696,00;-1,22;-0,16;2026-04-08;
OVHCLOUD;FR0014005HJ9;60,00;9,50;10,09;2,75;605,40;35,11;6,16;2026-04-08;
VUSION;FR0010282822;5,00;191,74;121,00;1,00;605,00;-353,72;-36,89;2025-11-25;
"SOLUTIONS 30";FR0013379484;600,00;1,11;0,66;11,28;396,60;-270,32;-40,52;2025-02-06;
"EXAIL TECHNOLOGIES";FR0000062671;3,00;130,56;120,60;-8,77;361,80;-29,89;-7,62;2026-04-08;
